image,label,mask,fold,root_dir,feature
Au/Au_arc_30272.jpg,0,,0,CASIA_2.0,256_features/CASIA_2.0_Au_arc_30272.pt
Tp/Tp_D_NNN_S_N_nat20015_nat20018_01519.tif,1,Gt/Tp_D_NNN_S_N_nat20015_nat20018_01519_gt.png,0,CASIA_2.0,256_features/CASIA_2.0_Tp_D_NNN_S_N_nat20015_nat20018_01519.pt
Tp/Tp_D_NRN_S_N_cha10108_cha00062_11584.jpg,1,Gt/Tp_D_NRN_S_N_cha10108_cha00062_11584_gt.png,0,CASIA_2.0,256_features/CASIA_2.0_Tp_D_NRN_S_N_cha10108_cha00062_11584.pt
Tp/Tp_S_NNN_M_N_cha00044_cha00044_11008.jpg,1,Gt/Tp_S_NNN_M_N_cha00044_cha00044_11008_gt.png,0,CASIA_2.0,256_features/CASIA_2.0_Tp_S_NNN_M_N_cha00044_cha00044_11008.pt
Tp/Tp_D_NRN_S_N_nat00063_art00025_11437.jpg,1,Gt/Tp_D_NRN_S_N_nat00063_art00025_11437_gt.png,0,CASIA_2.0,256_features/CASIA_2.0_Tp_D_NRN_S_N_nat00063_art00025_11437.pt
Au/Au_arc_30562.jpg,0,,0,CASIA_2.0,256_features/CASIA_2.0_Au_arc_30562.pt
Au/Au_ind_00046.jpg,0,,0,CASIA_2.0,256_features/CASIA_2.0_Au_ind_00046.pt
Tp/Tp_S_NRD_S_B_ind20017_ind20017_02274.tif,1,Gt/Tp_S_NRD_S_B_ind20017_ind20017_02274_gt.png,0,CASIA_2.0,256_features/CASIA_2.0_Tp_S_NRD_S_B_ind20017_ind20017_02274.pt
Tp/Tp_S_CRN_M_N_txt00085_txt00085_11308.jpg,1,Gt/Tp_S_CRN_M_N_txt00085_txt00085_11308_gt.png,0,CASIA_2.0,256_features/CASIA_2.0_Tp_S_CRN_M_N_txt00085_txt00085_11308.pt
Au/Au_sec_30718.jpg,0,,0,CASIA_2.0,256_features/CASIA_2.0_Au_sec_30718.pt
Au/Au_nat_20052.jpg,0,,0,CASIA_2.0,256_features/CASIA_2.0_Au_nat_20052.pt
Au/Au_nat_30445.jpg,0,,0,CASIA_2.0,256_features/CASIA_2.0_Au_nat_30445.pt
Tp/Tp_S_CNN_S_N_arc00084_arc00084_10733.jpg,1,Gt/Tp_S_CNN_S_N_arc00084_arc00084_10733_gt.png,0,CASIA_2.0,256_features/CASIA_2.0_Tp_S_CNN_S_N_arc00084_arc00084_10733.pt
Au/Au_nat_30681.jpg,0,,0,CASIA_2.0,256_features/CASIA_2.0_Au_nat_30681.pt
Au/Au_nat_10132.bmp,0,,0,CASIA_2.0,256_features/CASIA_2.0_Au_nat_10132.pt
Tp/Tp_S_NNN_S_N_nat00052_nat00052_11082.jpg,1,Gt/Tp_S_NNN_S_N_nat00052_nat00052_11082_gt.png,0,CASIA_2.0,256_features/CASIA_2.0_Tp_S_NNN_S_N_nat00052_nat00052_11082.pt
Tp/Tp_S_NNN_S_B_arc20045_arc20045_01498.tif,1,Gt/Tp_S_NNN_S_B_arc20045_arc20045_01498_gt.png,0,CASIA_2.0,256_features/CASIA_2.0_Tp_S_NNN_S_B_arc20045_arc20045_01498.pt
