image,image_patch,mask_patch,label,fold,ela
Au_art_30381,3.png,,0,0,
Au_arc_30388,3.png,,0,0,
Au_art_30539,1.png,,0,0,
Tp_S_NNN_S_N_cha10188_cha10188_12305,1.png,1_gt.png,1,0,ela_1.png
Au_sec_30134,3.png,,0,0,
Au_nat_10158,4.png,,0,0,
Au_ani_30636,1.png,,0,0,
Tp_S_NNN_S_N_txt00002_txt00002_01261,31.png,31_gt.png,1,0,ela_31.png
Tp_S_CNN_S_N_arc00048_arc00048_10243,1.png,1_gt.png,1,0,ela_1.png
Au_nat_20045,4.png,,0,0,
Tp_S_NNN_S_N_arc20007_arc20007_02154,1.png,1_gt.png,1,0,ela_1.png
Au_ani_00010,3.png,,0,0,
Tp_D_CRN_S_N_nat00099_nat00061_10075,13.png,13_gt.png,1,0,ela_13.png
Au_pla_30671,0.png,,0,0,
Tp_D_NNN_M_N_nat00033_cha00062_11380,6.png,6_gt.png,1,0,ela_6.png
Au_nat_10105,3.png,,0,0,
Tp_S_NNN_S_B_art00047_art00047_01407,1.png,1_gt.png,1,0,ela_1.png
Tp_S_CNN_S_N_cha10140_cha10140_12197,0.png,0_gt.png,1,0,ela_0.png
Au_arc_30739,0.png,,0,0,
Au_arc_30333,0.png,,0,0,
Au_sec_30061,1.png,,0,0,
Tp_D_NNN_M_N_arc00068_arc00075_00288,7.png,7_gt.png,1,0,ela_7.png
Tp_S_NRN_S_N_arc20072_arc20072_01712,1.png,1_gt.png,1,0,ela_1.png
Tp_S_CNN_M_N_nat10151_nat10151_12110,3.png,3_gt.png,1,0,ela_3.png
Tp_D_NRN_M_N_art00052_art00065_10020,20.png,20_gt.png,1,0,ela_20.png
Au_pla_30362,4.png,,0,0,
Tp_S_NNN_S_N_sec20060_sec20060_01650,0.png,0_gt.png,1,0,ela_0.png
Tp_D_NRN_M_N_nat00002_nat00059_11513,4.png,4_gt.png,1,0,ela_4.png
Au_ani_30074,4.png,,0,0,
Tp_S_CRN_S_N_nat10145_nat10145_11977,15.png,15_gt.png,1,0,ela_15.png
Au_arc_30562,1.png,,0,0,
Tp_D_NRN_M_N_nat10148_nat10161_12121,0.png,0_gt.png,1,0,ela_0.png
Au_nat_30066,0.png,,0,0,
Tp_S_NND_S_N_nat20006_nat20006_01510,1.png,1_gt.png,1,0,ela_1.png
Tp_S_CNN_M_N_nat10151_nat10151_12110,7.png,7_gt.png,1,0,ela_7.png
Au_art_30354,1.png,,0,0,
Tp_D_CRN_M_N_nat10131_nat00059_11908,12.png,12_gt.png,1,0,ela_12.png
Au_cha_30419,2.png,,0,0,
Tp_D_NRN_M_N_ani00043_ani00044_11142,5.png,5_gt.png,1,0,ela_5.png
Tp_S_NNN_S_N_art20042_art20042_01848,42.png,42_gt.png,1,0,ela_42.png
Au_arc_30362,4.png,,0,0,
Au_pla_30669,2.png,,0,0,
Au_sec_00075,4.png,,0,0,
Tp_D_NRN_M_N_nat00099_art00096_11447,12.png,12_gt.png,1,0,ela_12.png
Tp_D_NRN_S_N_cha00031_ani00100_00351,0.png,0_gt.png,1,0,ela_0.png
Au_nat_20037,0.png,,0,0,
Tp_D_NRN_S_B_ani10209_ani10210_12372,0.png,0_gt.png,1,0,ela_0.png
Au_ani_30511,2.png,,0,0,
Tp_D_NNN_S_N_nat00007_ani00021_00627,14.png,14_gt.png,1,0,ela_14.png
Au_ind_20033,2.png,,0,0,
Au_sec_20043,4.png,,0,0,
Au_cha_30055,1.png,,0,0,
Au_nat_30450,4.png,,0,0,
Au_ani_30035,3.png,,0,0,
Au_nat_30260,2.png,,0,0,
Tp_S_CNN_M_N_txt00089_txt00089_11313,0.png,0_gt.png,1,0,ela_0.png
Tp_D_NRN_M_N_art00012_art00014_11815,9.png,9_gt.png,1,0,ela_9.png
Au_sec_30647,3.png,,0,0,
Au_ind_30095,2.png,,0,0,
Au_pla_00087,2.png,,0,0,
Au_art_30631,1.png,,0,0,
Tp_D_NRN_S_B_ani00021_ani00020_20015,1.png,1_gt.png,1,0,ela_1.png
Tp_D_NNN_S_N_pla00100_ani00079_00540,7.png,7_gt.png,1,0,ela_7.png
Tp_D_NRN_L_N_ani10109_ani10108_10226,12.png,12_gt.png,1,0,ela_12.png
Au_ind_20003,1.png,,0,0,
Au_arc_30701,3.png,,0,0,
Tp_S_NRN_M_N_art00093_art00093_10485,1.png,1_gt.png,1,0,ela_1.png
Au_pla_30612,2.png,,0,0,
Au_nat_30513,4.png,,0,0,
Au_ani_30465,1.png,,0,0,
Tp_S_CNN_M_N_nat00068_nat00068_10568,3.png,3_gt.png,1,0,ela_3.png
Tp_D_NRN_M_N_nat10147_nat10124_11999,9.png,9_gt.png,1,0,ela_9.png
Tp_D_NNN_S_N_art00045_cha00023_01409,2.png,2_gt.png,1,0,ela_2.png
Au_arc_30280,3.png,,0,0,
Tp_D_NNN_M_N_ani10132_ani10123_12477,12.png,12_gt.png,1,0,ela_12.png
Tp_S_NNN_S_N_nat00012_nat00012_00938,0.png,0_gt.png,1,0,ela_0.png
Tp_D_NRN_S_N_nat10145_ani00024_11981,4.png,4_gt.png,1,0,ela_4.png
