fname,label,fold
Au_ani_00001.pt,0,0
Au_ani_00003.pt,0,0
Au_ani_00004.pt,0,0
Au_ani_00005.pt,0,0
Au_ani_00007.pt,0,0
Au_ani_00008.pt,0,0
Au_ani_00010.pt,0,0
Au_ani_00015.pt,0,0
Au_ani_00017.pt,0,0
Au_ani_00018.pt,0,0
Au_ani_00019.pt,0,0
Au_ani_00025.pt,0,0
Au_ani_00027.pt,0,0
Au_ani_00032.pt,0,0
Au_ani_00036.pt,0,0
Au_ani_00038.pt,0,0
Au_ani_00051.pt,0,0
Au_ani_00053.pt,0,0
Au_ani_00064.pt,0,0
Au_ani_00070.pt,0,0
Au_ani_00073.pt,0,0
Au_ani_00080.pt,0,0
Tp_S_NNN_S_B_arc20090_arc20090_02412.pt,1,0
Tp_S_NNN_S_B_arc20092_arc20092_02407.pt,1,0
Tp_S_NNN_S_B_art00013_art00013_20061.pt,1,0
Tp_S_NNN_S_B_art00020_art00020_20029.pt,1,0
Tp_S_NNN_S_B_art00021_art00021_20030.pt,1,0
Tp_S_NNN_S_B_art00032_art00032_01422.pt,1,0
Tp_S_NNN_S_B_art00041_art00041_01225.pt,1,0
Tp_S_NNN_S_B_art00044_art00044_01228.pt,1,0
Tp_S_NNN_S_B_art00057_art00057_01232.pt,1,0
Tp_S_NNN_S_B_art00060_art00060_01235.pt,1,0
Tp_S_NNN_S_B_art00069_art00069_01240.pt,1,0
Tp_S_NNN_S_B_art00082_art00082_01248.pt,1,0
Tp_S_NNN_S_B_art10003_art10003_20041.pt,1,0
Tp_S_NNN_S_B_art10005_art10005_20043.pt,1,0
Tp_S_NNN_S_B_art10109_art10109_11574.pt,1,0
Tp_S_NNN_S_B_art20011_art20011_02493.pt,1,0
Tp_S_NNN_S_B_art20026_art20026_02337.pt,1,0
Tp_S_NNN_S_B_art20060_art20060_02327.pt,1,0
Tp_S_NNN_S_B_cha00002_cha00002_11162.pt,1,0
Tp_D_NRN_S_N_art00051_art00010_01025.pt,1,0
Tp_D_NRN_S_N_art00054_ani00005_00523.pt,1,0
Tp_D_NRN_S_N_art00071_art00078_10478.pt,1,0
Tp_D_NRN_S_N_art00072_ani00100_01396.pt,1,0
Tp_D_NRN_S_N_art00093_art00009_00536.pt,1,0
Tp_D_NRN_S_N_art00096_art00092_11726.pt,1,0
Tp_D_NRN_S_N_art00097_ani00013_00537.pt,1,0
Tp_D_NRN_S_N_art00099_ani00005_00539.pt,1,0
Tp_D_NRN_S_N_art00099_art00092_11716.pt,1,0
Tp_D_NRN_S_N_art10105_ani10123_11599.pt,1,0
Tp_D_NRN_S_N_art10105_pla00049_11595.pt,1,0
Tp_D_NRN_S_N_art10106_cha00067_11592.pt,1,0
Tp_D_NRN_S_N_art10108_ani00100_11630.pt,1,0
Tp_D_NRN_S_N_art20006_art20005_01812.pt,1,0
Tp_D_NRN_S_N_art20028_art20029_01834.pt,1,0
Tp_D_NRN_S_N_art20035_art20036_02492.pt,1,0
Tp_D_NRN_S_N_cha00008_art10102_11163.pt,1,0
Tp_D_NRN_S_N_cha00011_ani00031_00331.pt,1,0
Tp_D_NRN_S_N_cha00012_art00065_00332.pt,1,0
Tp_D_NRN_S_N_cha00016_cha00014_11153.pt,1,0
Tp_S_NNN_S_N_pla00038_pla00038_01151.pt,1,0
Tp_S_NNN_S_N_pla00040_pla00040_00575.pt,1,0
Tp_S_NNN_S_N_pla00042_pla00042_01153.pt,1,0
Tp_S_NNN_S_N_pla00043_pla00043_00578.pt,1,0
Tp_S_NNN_S_N_pla00045_pla00045_01155.pt,1,0
Tp_S_NNN_S_N_pla00048_pla00048_00583.pt,1,0
Tp_S_NNN_S_N_pla00049_pla00049_00584.pt,1,0
Tp_S_NNN_S_N_pla00051_pla00051_00585.pt,1,0
Tp_S_NNN_S_N_pla00052_pla00052_00586.pt,1,0
Tp_S_NNN_S_N_pla00055_pla00055_01164.pt,1,0
