image_patch,mask_patch,label,fold,ela,root_dir
Au/Au_arc_30272.jpg,,0,0,Au/Au_arc_30272_ela.jpg,CASIA_2.0
Tp/Tp_D_NNN_S_N_nat20015_nat20018_01519.tif,Gt/Tp_D_NNN_S_N_nat20015_nat20018_01519_gt.png,1,0,Tp/Tp_D_NNN_S_N_nat20015_nat20018_01519_ela.jpg,CASIA_2.0
Tp/Tp_D_NRN_S_N_cha10108_cha00062_11584.jpg,Gt/Tp_D_NRN_S_N_cha10108_cha00062_11584_gt.png,1,0,Tp/Tp_D_NRN_S_N_cha10108_cha00062_11584_ela.jpg,CASIA_2.0
Tp/Tp_S_NNN_M_N_cha00044_cha00044_11008.jpg,Gt/Tp_S_NNN_M_N_cha00044_cha00044_11008_gt.png,1,0,Tp/Tp_S_NNN_M_N_cha00044_cha00044_11008_ela.jpg,CASIA_2.0
Tp/Tp_D_NRN_S_N_nat00063_art00025_11437.jpg,Gt/Tp_D_NRN_S_N_nat00063_art00025_11437_gt.png,1,0,Tp/Tp_D_NRN_S_N_nat00063_art00025_11437_ela.jpg,CASIA_2.0
Au/Au_arc_30562.jpg,,0,0,Au/Au_arc_30562_ela.jpg,CASIA_2.0
Au/Au_ind_00046.jpg,,0,0,Au/Au_ind_00046_ela.jpg,CASIA_2.0
Tp/Tp_S_NRD_S_B_ind20017_ind20017_02274.tif,Gt/Tp_S_NRD_S_B_ind20017_ind20017_02274_gt.png,1,0,Tp/Tp_S_NRD_S_B_ind20017_ind20017_02274_ela.jpg,CASIA_2.0
Tp/Tp_S_CRN_M_N_txt00085_txt00085_11308.jpg,Gt/Tp_S_CRN_M_N_txt00085_txt00085_11308_gt.png,1,0,Tp/Tp_S_CRN_M_N_txt00085_txt00085_11308_ela.jpg,CASIA_2.0
Au/Au_sec_30718.jpg,,0,0,Au/Au_sec_30718_ela.jpg,CASIA_2.0
Au/Au_nat_20052.jpg,,0,0,Au/Au_nat_20052_ela.jpg,CASIA_2.0
Au/Au_nat_30445.jpg,,0,0,Au/Au_nat_30445_ela.jpg,CASIA_2.0
Tp/Tp_S_CNN_S_N_arc00084_arc00084_10733.jpg,Gt/Tp_S_CNN_S_N_arc00084_arc00084_10733_gt.png,1,0,Tp/Tp_S_CNN_S_N_arc00084_arc00084_10733_ela.jpg,CASIA_2.0
Au/Au_nat_30681.jpg,,0,0,Au/Au_nat_30681_ela.jpg,CASIA_2.0
Au/Au_nat_10132.bmp,,0,0,Au/Au_nat_10132_ela.jpg,CASIA_2.0
Tp/Tp_S_NNN_S_N_nat00052_nat00052_11082.jpg,Gt/Tp_S_NNN_S_N_nat00052_nat00052_11082_gt.png,1,0,Tp/Tp_S_NNN_S_N_nat00052_nat00052_11082_ela.jpg,CASIA_2.0
Tp/Tp_S_NNN_S_B_arc20045_arc20045_01498.tif,Gt/Tp_S_NNN_S_B_arc20045_arc20045_01498_gt.png,1,0,Tp/Tp_S_NNN_S_B_arc20045_arc20045_01498_ela.jpg,CASIA_2.0
Tp/Tp_S_NNN_S_N_sec20060_sec20060_01650.tif,Gt/Tp_S_NNN_S_N_sec20060_sec20060_01650_gt.png,1,0,Tp/Tp_S_NNN_S_N_sec20060_sec20060_01650_ela.jpg,CASIA_2.0
Tp/Tp_S_NNN_S_N_art00020_art00020_01426.tif,Gt/Tp_S_NNN_S_N_art00020_art00020_01426_gt.png,1,0,Tp/Tp_S_NNN_S_N_art00020_art00020_01426_ela.jpg,CASIA_2.0
Au/Au_art_00089.jpg,,0,0,Au/Au_art_00089_ela.jpg,CASIA_2.0
Au/Au_nat_30308.jpg,,0,0,Au/Au_nat_30308_ela.jpg,CASIA_2.0
Tp/Tp_S_NNN_S_N_ind20035_ind20035_01776.tif,Gt/Tp_S_NNN_S_N_ind20035_ind20035_01776_gt.png,1,0,Tp/Tp_S_NNN_S_N_ind20035_ind20035_01776_ela.jpg,CASIA_2.0
Au/Au_nat_20045.jpg,,0,0,Au/Au_nat_20045_ela.jpg,CASIA_2.0
Au/Au_cha_30107.jpg,,0,0,Au/Au_cha_30107_ela.jpg,CASIA_2.0
Au/Au_pla_30644.jpg,,0,0,Au/Au_pla_30644_ela.jpg,CASIA_2.0
Tp/Tp_S_NND_S_N_ani00048_ani00048_00168.tif,Gt/Tp_S_NND_S_N_ani00048_ani00048_00168_gt.png,1,0,Tp/Tp_S_NND_S_N_ani00048_ani00048_00168_ela.jpg,CASIA_2.0
Tp/Tp_S_NNN_S_N_arc00092_arc00092_00312.tif,Gt/Tp_S_NNN_S_N_arc00092_arc00092_00312_gt.png,1,0,Tp/Tp_S_NNN_S_N_arc00092_arc00092_00312_ela.jpg,CASIA_2.0
Tp/Tp_S_CNN_S_N_ind00046_ind00046_10889.jpg,Gt/Tp_S_CNN_S_N_ind00046_ind00046_10889_gt.png,1,0,Tp/Tp_S_CNN_S_N_ind00046_ind00046_10889_ela.jpg,CASIA_2.0
Au/Au_txt_00091.jpg,,0,0,Au/Au_txt_00091_ela.jpg,CASIA_2.0
Au/Au_art_30474.jpg,,0,0,Au/Au_art_30474_ela.jpg,CASIA_2.0
Au/Au_ani_30375.jpg,,0,0,Au/Au_ani_30375_ela.jpg,CASIA_2.0
Au/Au_pla_30310.jpg,,0,0,Au/Au_pla_30310_ela.jpg,CASIA_2.0
Tp/Tp_S_NRD_S_B_ani00046_ani00046_01259.tif,Gt/Tp_S_NRD_S_B_ani00046_ani00046_01259_gt.png,1,0,Tp/Tp_S_NRD_S_B_ani00046_ani00046_01259_ela.jpg,CASIA_2.0
Au/Au_arc_30827.jpg,,0,0,Au/Au_arc_30827_ela.jpg,CASIA_2.0
Au/Au_ani_30644.jpg,,0,0,Au/Au_ani_30644_ela.jpg,CASIA_2.0
Tp/Tp_S_NNN_M_N_nat00042_nat00042_11070.jpg,Gt/Tp_S_NNN_M_N_nat00042_nat00042_11070_gt.png,1,0,Tp/Tp_S_NNN_M_N_nat00042_nat00042_11070_ela.jpg,CASIA_2.0
Au/Au_art_30033.jpg,,0,0,Au/Au_art_30033_ela.jpg,CASIA_2.0
Au/Au_ani_30508.jpg,,0,0,Au/Au_ani_30508_ela.jpg,CASIA_2.0
Au/Au_pla_30516.jpg,,0,0,Au/Au_pla_30516_ela.jpg,CASIA_2.0
Au/Au_ani_30409.jpg,,0,0,Au/Au_ani_30409_ela.jpg,CASIA_2.0
Tp/Tp_S_NNN_S_N_arc00044_arc00044_01081.tif,Gt/Tp_S_NNN_S_N_arc00044_arc00044_01081_gt.png,1,0,Tp/Tp_S_NNN_S_N_arc00044_arc00044_01081_ela.jpg,CASIA_2.0
Au/Au_arc_30681.jpg,,0,0,Au/Au_arc_30681_ela.jpg,CASIA_2.0
Tp/Tp_S_NRN_S_N_ind00015_ind00015_10919.jpg,Gt/Tp_S_NRN_S_N_ind00015_ind00015_10919_gt.png,1,0,Tp/Tp_S_NRN_S_N_ind00015_ind00015_10919_ela.jpg,CASIA_2.0
Tp/Tp_S_NRN_S_N_nat00041_nat00041_00960.tif,Gt/Tp_S_NRN_S_N_nat00041_nat00041_00960_gt.png,1,0,Tp/Tp_S_NRN_S_N_nat00041_nat00041_00960_ela.jpg,CASIA_2.0
Au/Au_sec_20015.jpg,,0,0,Au/Au_sec_20015_ela.jpg,CASIA_2.0
Au/Au_ani_00068.jpg,,0,0,Au/Au_ani_00068_ela.jpg,CASIA_2.0
Au/Au_txt_00044.jpg,,0,0,Au/Au_txt_00044_ela.jpg,CASIA_2.0
Au/Au_art_30297.jpg,,0,0,Au/Au_art_30297_ela.jpg,CASIA_2.0
Tp/Tp_S_NNN_S_N_nat20066_nat20066_01570.tif,Gt/Tp_S_NNN_S_N_nat20066_nat20066_01570_gt.png,1,0,Tp/Tp_S_NNN_S_N_nat20066_nat20066_01570_ela.jpg,CASIA_2.0
Au/Au_ani_00050.jpg,,0,0,Au/Au_ani_00050_ela.jpg,CASIA_2.0
Tp/Tp_S_NNN_M_N_ind10102_ind10102_11550.jpg,Gt/Tp_S_NNN_M_N_ind10102_ind10102_11550_gt.png,1,0,Tp/Tp_S_NNN_M_N_ind10102_ind10102_11550_ela.jpg,CASIA_2.0
Au/Au_pla_00069.jpg,,0,0,Au/Au_pla_00069_ela.jpg,CASIA_2.0
Au/Au_cha_30128.jpg,,0,0,Au/Au_cha_30128_ela.jpg,CASIA_2.0
Au/Au_ani_30554.jpg,,0,0,Au/Au_ani_30554_ela.jpg,CASIA_2.0
Au/Au_art_30685.jpg,,0,0,Au/Au_art_30685_ela.jpg,CASIA_2.0
Tp/Tp_S_NNN_S_N_arc20066_arc20066_02195.tif,Gt/Tp_S_NNN_S_N_arc20066_arc20066_02195_gt.png,1,0,Tp/Tp_S_NNN_S_N_arc20066_arc20066_02195_ela.jpg,CASIA_2.0
Au/Au_art_30465.jpg,,0,0,Au/Au_art_30465_ela.jpg,CASIA_2.0
Tp/Tp_S_NNN_S_B_ani00060_ani00060_00180.tif,Gt/Tp_S_NNN_S_B_ani00060_ani00060_00180_gt.png,1,0,Tp/Tp_S_NNN_S_B_ani00060_ani00060_00180_ela.jpg,CASIA_2.0
Tp/Tp_D_CRN_M_O_pla10102_ani10104_10028.tif,Gt/Tp_D_CRN_M_O_pla10102_ani10104_10028_gt.png,1,0,Tp/Tp_D_CRN_M_O_pla10102_ani10104_10028_ela.jpg,CASIA_2.0
Au/Au_sec_30472.jpg,,0,0,Au/Au_sec_30472_ela.jpg,CASIA_2.0
Au/Au_pla_30297.jpg,,0,0,Au/Au_pla_30297_ela.jpg,CASIA_2.0
Au/Au_pla_30488.jpg,,0,0,Au/Au_pla_30488_ela.jpg,CASIA_2.0
Au/Au_pla_30163.jpg,,0,0,Au/Au_pla_30163_ela.jpg,CASIA_2.0
Tp/Tp_S_NNN_S_N_ani00089_ani00089_00813.tif,Gt/Tp_S_NNN_S_N_ani00089_ani00089_00813_gt.png,1,0,Tp/Tp_S_NNN_S_N_ani00089_ani00089_00813_ela.jpg,CASIA_2.0
Au/Au_ani_30484.jpg,,0,0,Au/Au_ani_30484_ela.jpg,CASIA_2.0
Au/Au_ani_20047.jpg,,0,0,Au/Au_ani_20047_ela.jpg,CASIA_2.0
Tp/Tp_D_NNN_M_N_art00049_cha00070_11790.jpg,Gt/Tp_D_NNN_M_N_art00049_cha00070_11790_gt.png,1,0,Tp/Tp_D_NNN_M_N_art00049_cha00070_11790_ela.jpg,CASIA_2.0
