,image_patch,mask_patch,label,fold,ela,root_dir
2241,Au/Au_ind_30070.jpg,,0,1,Au/Au_ind_30070_ela.jpg,CASIA_2.0
1886,Au/Au_art_30045.jpg,,0,1,Au/Au_art_30045_ela.jpg,CASIA_2.0
1791,Au/Au_cha_30038.jpg,,0,1,Au/Au_cha_30038_ela.jpg,CASIA_2.0
1783,Au/Au_ani_30213.jpg,,0,1,Au/Au_ani_30213_ela.jpg,CASIA_2.0
2340,Au/Au_cha_30179.jpg,,0,1,Au/Au_cha_30179_ela.jpg,CASIA_2.0
1731,Au/Au_pla_30501.jpg,,0,1,Au/Au_pla_30501_ela.jpg,CASIA_2.0
1647,Au/Au_pla_30190.jpg,,0,1,Au/Au_pla_30190_ela.jpg,CASIA_2.0
2464,Au/Au_cha_30018.jpg,,0,1,Au/Au_cha_30018_ela.jpg,CASIA_2.0
1379,Au/Au_nat_30626.jpg,,0,1,Au/Au_nat_30626_ela.jpg,CASIA_2.0
2274,Au/Au_ind_00064.jpg,,0,1,Au/Au_ind_00064_ela.jpg,CASIA_2.0
2345,Au/Au_ani_30257.jpg,,0,1,Au/Au_ani_30257_ela.jpg,CASIA_2.0
2055,Au/Au_arc_30286.jpg,,0,1,Au/Au_arc_30286_ela.jpg,CASIA_2.0
1897,Au/Au_pla_30007.jpg,,0,1,Au/Au_pla_30007_ela.jpg,CASIA_2.0
1292,Au/Au_pla_30741.jpg,,0,1,Au/Au_pla_30741_ela.jpg,CASIA_2.0
1852,Au/Au_ani_30654.jpg,,0,1,Au/Au_ani_30654_ela.jpg,CASIA_2.0
2017,Au/Au_ind_10102.jpg,,0,1,Au/Au_ind_10102_ela.jpg,CASIA_2.0
2203,Au/Au_arc_30128.jpg,,0,1,Au/Au_arc_30128_ela.jpg,CASIA_2.0
1422,Au/Au_pla_30074.jpg,,0,1,Au/Au_pla_30074_ela.jpg,CASIA_2.0
1246,Au/Au_nat_20057.jpg,,0,1,Au/Au_nat_20057_ela.jpg,CASIA_2.0
2400,Au/Au_art_30295.jpg,,0,1,Au/Au_art_30295_ela.jpg,CASIA_2.0
1941,Au/Au_arc_30410.jpg,,0,1,Au/Au_arc_30410_ela.jpg,CASIA_2.0
1521,Au/Au_cha_30418.jpg,,0,1,Au/Au_cha_30418_ela.jpg,CASIA_2.0
1332,Au/Au_arc_30217.jpg,,0,1,Au/Au_arc_30217_ela.jpg,CASIA_2.0
2202,Au/Au_ani_30057.jpg,,0,1,Au/Au_ani_30057_ela.jpg,CASIA_2.0
