,image_patch,mask_patch,label,fold,ela,root_dir
415,1ca8nm/c9elhr5_0.jpg,1ca8nm/c9elhr5_0_mask.jpg,1,1,1ca8nm/c9elhr5_0_ela.jpg,IMD2020/imd_data
547,1c2bbr/c9ccedw_0.jpg,1c2bbr/c9ccedw_0_mask.jpg,1,1,1c2bbr/c9ccedw_0_ela.jpg,IMD2020/imd_data
334,1az3z4/c925i21_0.jpg,1az3z4/c925i21_0_mask.jpg,1,1,1az3z4/c925i21_0_ela.jpg,IMD2020/imd_data
437,1cdqz3/c9fmrsm_0.jpg,1cdqz3/c9fmrsm_0_mask.jpg,1,1,1cdqz3/c9fmrsm_0_ela.jpg,IMD2020/imd_data
510,1bigvi/c970wej_0.jpg,1bigvi/c970wej_0_mask.jpg,1,1,1bigvi/c970wej_0_ela.jpg,IMD2020/imd_data
432,1b68xn/c9479yq_0.jpg,1b68xn/c9479yq_0_mask.jpg,1,1,1b68xn/c9479yq_0_ela.jpg,IMD2020/imd_data
505,1b40l4/c93j7x2_0.jpg,1b40l4/c93j7x2_0_mask.jpg,1,1,1b40l4/c93j7x2_0_ela.jpg,IMD2020/imd_data
448,1bbpcg/c95fx63_0.jpg,1bbpcg/c95fx63_0_mask.jpg,1,1,1bbpcg/c95fx63_0_ela.jpg,IMD2020/imd_data
468,1bl55t/c980b28_0.jpg,1bl55t/c980b28_0_mask.jpg,1,1,1bl55t/c980b28_0_ela.jpg,IMD2020/imd_data
445,1bx64j/c9ayp33_0.jpg,1bx64j/c9ayp33_0_mask.jpg,1,1,1bx64j/c9ayp33_0_ela.jpg,IMD2020/imd_data
502,1c1mwo/c9cqpt2_0.jpg,1c1mwo/c9cqpt2_0_mask.jpg,1,1,1c1mwo/c9cqpt2_0_ela.jpg,IMD2020/imd_data
466,1a9l4s/c8voq23_0.jpg,1a9l4s/c8voq23_0_mask.jpg,1,1,1a9l4s/c8voq23_0_ela.jpg,IMD2020/imd_data
435,1b7ua0/c94gj9u_0.jpg,1b7ua0/c94gj9u_0_mask.jpg,1,1,1b7ua0/c94gj9u_0_ela.jpg,IMD2020/imd_data
571,1bqaw1/c990v3g_0.jpg,1bqaw1/c990v3g_0_mask.jpg,1,1,1bqaw1/c990v3g_0_ela.jpg,IMD2020/imd_data
314,1bws7y/c9atngk_0.jpg,1bws7y/c9atngk_0_mask.jpg,1,1,1bws7y/c9atngk_0_ela.jpg,IMD2020/imd_data
338,1as3ai/c90fxcd_0.jpg,1as3ai/c90fxcd_0_mask.jpg,1,1,1as3ai/c90fxcd_0_ela.jpg,IMD2020/imd_data
317,1c7xcf/c9e3pq0_0.jpg,1c7xcf/c9e3pq0_0_mask.jpg,1,1,1c7xcf/c9e3pq0_0_ela.jpg,IMD2020/imd_data
579,1bri83/c99fjx6_0.jpg,1bri83/c99fjx6_0_mask.jpg,1,1,1bri83/c99fjx6_0_ela.jpg,IMD2020/imd_data
379,1b68xn/c94ddtu_0.jpg,1b68xn/c94ddtu_0_mask.jpg,1,1,1b68xn/c94ddtu_0_ela.jpg,IMD2020/imd_data
370,1bqic5/c998fw2_0.jpg,1bqic5/c998fw2_0_mask.jpg,1,1,1bqic5/c998fw2_0_ela.jpg,IMD2020/imd_data
323,1bza2v/c9bly1t_0.jpg,1bza2v/c9bly1t_0_mask.jpg,1,1,1bza2v/c9bly1t_0_ela.jpg,IMD2020/imd_data
554,1anq2a/c8z3et9_0.jpg,1anq2a/c8z3et9_0_mask.jpg,1,1,1anq2a/c8z3et9_0_ela.jpg,IMD2020/imd_data
410,1b18vd/c92n9gt_0.jpg,1b18vd/c92n9gt_0_mask.jpg,1,1,1b18vd/c92n9gt_0_ela.jpg,IMD2020/imd_data
377,1aq6ym/c8ztmnk_0.jpg,1aq6ym/c8ztmnk_0_mask.jpg,1,1,1aq6ym/c8ztmnk_0_ela.jpg,IMD2020/imd_data
487,1amtqf/c8yvmji_0.jpg,1amtqf/c8yvmji_0_mask.jpg,1,1,1amtqf/c8yvmji_0_ela.jpg,IMD2020/imd_data
333,1b8r7b/c94s1ue_0.jpg,1b8r7b/c94s1ue_0_mask.jpg,1,1,1b8r7b/c94s1ue_0_ela.jpg,IMD2020/imd_data
417,1b9voq/c952ngn_0.jpg,1b9voq/c952ngn_0_mask.jpg,1,1,1b9voq/c952ngn_0_ela.jpg,IMD2020/imd_data
413,1aa8xl/c8vkbiq_0.jpg,1aa8xl/c8vkbiq_0_mask.jpg,1,1,1aa8xl/c8vkbiq_0_ela.jpg,IMD2020/imd_data
441,1c1mwo/c9ckx05_0.jpg,1c1mwo/c9ckx05_0_mask.jpg,1,1,1c1mwo/c9ckx05_0_ela.jpg,IMD2020/imd_data
566,1bzitw/c9bp70d_0.jpg,1bzitw/c9bp70d_0_mask.jpg,1,1,1bzitw/c9bp70d_0_ela.jpg,IMD2020/imd_data
388,1cexsx/c9g7604_0.jpg,1cexsx/c9g7604_0_mask.jpg,1,1,1cexsx/c9g7604_0_ela.jpg,IMD2020/imd_data
400,1b8r7b/c94scmh_0.jpg,1b8r7b/c94scmh_0_mask.jpg,1,1,1b8r7b/c94scmh_0_ela.jpg,IMD2020/imd_data
541,1b7ua0/c94l7xc_0.jpg,1b7ua0/c94l7xc_0_mask.jpg,1,1,1b7ua0/c94l7xc_0_ela.jpg,IMD2020/imd_data
307,1aut4s/c90zhs7_0.jpg,1aut4s/c90zhs7_0_mask.jpg,1,1,1aut4s/c90zhs7_0_ela.jpg,IMD2020/imd_data
402,1c9e7e/c9ec1il_0.jpg,1c9e7e/c9ec1il_0_mask.jpg,1,1,1c9e7e/c9ec1il_0_ela.jpg,IMD2020/imd_data
373,1cdwa7/c9fprtk_0.jpg,1cdwa7/c9fprtk_0_mask.jpg,1,1,1cdwa7/c9fprtk_0_ela.jpg,IMD2020/imd_data
404,1bl55t/c97sv42_0.jpg,1bl55t/c97sv42_0_mask.jpg,1,1,1bl55t/c97sv42_0_ela.jpg,IMD2020/imd_data
393,1a9l4s/c8vemkb_0.jpg,1a9l4s/c8vemkb_0_mask.jpg,1,1,1a9l4s/c8vemkb_0_ela.jpg,IMD2020/imd_data
565,1c2ojm/c9clks3_0.jpg,1c2ojm/c9clks3_0_mask.jpg,1,1,1c2ojm/c9clks3_0_ela.jpg,IMD2020/imd_data
474,1bczrg/c95uyty_0.jpg,1bczrg/c95uyty_0_mask.jpg,1,1,1bczrg/c95uyty_0_ela.jpg,IMD2020/imd_data
459,1c4ksv/c9dem0q_0.jpg,1c4ksv/c9dem0q_0_mask.jpg,1,1,1c4ksv/c9dem0q_0_ela.jpg,IMD2020/imd_data
452,1bfbnf/c96dm5n_0.jpg,1bfbnf/c96dm5n_0_mask.jpg,1,1,1bfbnf/c96dm5n_0_ela.jpg,IMD2020/imd_data
303,1ah0n7/c8xfpsi_0.jpg,1ah0n7/c8xfpsi_0_mask.jpg,1,1,1ah0n7/c8xfpsi_0_ela.jpg,IMD2020/imd_data
528,1bigvi/c970x7m_0.jpg,1bigvi/c970x7m_0_mask.jpg,1,1,1bigvi/c970x7m_0_ela.jpg,IMD2020/imd_data
456,1c6t1h/c9dnkas_0.jpg,1c6t1h/c9dnkas_0_mask.jpg,1,1,1c6t1h/c9dnkas_0_ela.jpg,IMD2020/imd_data
357,1ca8nm/c9elrrk_0.jpg,1ca8nm/c9elrrk_0_mask.jpg,1,1,1ca8nm/c9elrrk_0_ela.jpg,IMD2020/imd_data
525,1ca8nm/c9epo48_0.jpg,1ca8nm/c9epo48_0_mask.jpg,1,1,1ca8nm/c9epo48_0_ela.jpg,IMD2020/imd_data
365,1as3ai/c908vvn_0.jpg,1as3ai/c908vvn_0_mask.jpg,1,1,1as3ai/c908vvn_0_ela.jpg,IMD2020/imd_data
577,1c54ga/c9dl0if_0.jpg,1c54ga/c9dl0if_0_mask.jpg,1,1,1c54ga/c9dl0if_0_ela.jpg,IMD2020/imd_data
495,1c2ojm/c9cojnz_0.jpg,1c2ojm/c9cojnz_0_mask.jpg,1,1,1c2ojm/c9cojnz_0_ela.jpg,IMD2020/imd_data
350,1c9e7e/c9ec9j2_0.jpg,1c9e7e/c9ec9j2_0_mask.jpg,1,1,1c9e7e/c9ec9j2_0_ela.jpg,IMD2020/imd_data
484,1c2ojm/c9cnv8n_0.jpg,1c2ojm/c9cnv8n_0_mask.jpg,1,1,1c2ojm/c9cnv8n_0_ela.jpg,IMD2020/imd_data
318,1c4ze8/c9d3l1c_0.jpg,1c4ze8/c9d3l1c_0_mask.jpg,1,1,1c4ze8/c9d3l1c_0_ela.jpg,IMD2020/imd_data
340,1ajtpd/c8ydsfu_0.jpg,1ajtpd/c8ydsfu_0_mask.jpg,1,1,1ajtpd/c8ydsfu_0_ela.jpg,IMD2020/imd_data
347,1brd95/c99bz7g_0.jpg,1brd95/c99bz7g_0_mask.jpg,1,1,1brd95/c99bz7g_0_ela.jpg,IMD2020/imd_data
533,1btpfr/c9a0u7u_0.jpg,1btpfr/c9a0u7u_0_mask.jpg,1,1,1btpfr/c9a0u7u_0_ela.jpg,IMD2020/imd_data
504,1boevu/c98ojjv_0.jpg,1boevu/c98ojjv_0_mask.jpg,1,1,1boevu/c98ojjv_0_ela.jpg,IMD2020/imd_data
461,1bfbnf/c96cbvq_0.jpg,1bfbnf/c96cbvq_0_mask.jpg,1,1,1bfbnf/c96cbvq_0_ela.jpg,IMD2020/imd_data
471,1b8r7b/c94otp8_0.jpg,1b8r7b/c94otp8_0_mask.jpg,1,1,1b8r7b/c94otp8_0_ela.jpg,IMD2020/imd_data
371,1awo2u/c91g223_0.jpg,1awo2u/c91g223_0_mask.jpg,1,1,1awo2u/c91g223_0_ela.jpg,IMD2020/imd_data
336,1c7f5q/c9drgb8_0.jpg,1c7f5q/c9drgb8_0_mask.jpg,1,1,1c7f5q/c9drgb8_0_ela.jpg,IMD2020/imd_data
470,1aut4s/c912un2_0.jpg,1aut4s/c912un2_0_mask.jpg,1,1,1aut4s/c912un2_0_ela.jpg,IMD2020/imd_data
501,1c6t1h/c9dvu4w_0.jpg,1c6t1h/c9dvu4w_0_mask.jpg,1,1,1c6t1h/c9dvu4w_0_ela.jpg,IMD2020/imd_data
