,image_patch,mask_patch,label,fold,ela,root_dir
289,extra_orig/gillpoole_220023906.jpg,,0,1,extra_orig/gillpoole_220023906_ela.jpg,IMD2020/imd_data
294,extra_orig/fabola_27874919737.jpg,,0,1,extra_orig/fabola_27874919737_ela.jpg,IMD2020/imd_data
296,extra_orig/luckyno3_15103064353.jpg,,0,1,extra_orig/luckyno3_15103064353_ela.jpg,IMD2020/imd_data
297,extra_orig/janitors_26558345549.jpg,,0,1,extra_orig/janitors_26558345549_ela.jpg,IMD2020/imd_data
298,extra_orig/darij_4023065742.jpg,,0,1,extra_orig/darij_4023065742_ela.jpg,IMD2020/imd_data
299,extra_orig/aenigmates_42873663160.jpg,,0,1,extra_orig/aenigmates_42873663160_ela.jpg,IMD2020/imd_data
301,extra_orig/firststatewoodturners_49838411316.jpg,,0,1,extra_orig/firststatewoodturners_49838411316_ela.jpg,IMD2020/imd_data
304,extra_orig/81329542@N05_46474150854.jpg,,0,1,extra_orig/81329542@N05_46474150854_ela.jpg,IMD2020/imd_data
305,extra_orig/is0crazy_3772618775.jpg,,0,1,extra_orig/is0crazy_3772618775_ela.jpg,IMD2020/imd_data
306,extra_orig/airflore_3744990089.jpg,,0,1,extra_orig/airflore_3744990089_ela.jpg,IMD2020/imd_data
308,extra_orig/marshalltownpubliclibrary_5975749824.jpg,,0,1,extra_orig/marshalltownpubliclibrary_5975749824_ela.jpg,IMD2020/imd_data
309,extra_orig/wmfra_31210483867.jpg,,0,1,extra_orig/wmfra_31210483867_ela.jpg,IMD2020/imd_data
310,extra_orig/gmaximo_5393138380.jpg,,0,1,extra_orig/gmaximo_5393138380_ela.jpg,IMD2020/imd_data
311,extra_orig/movingmountainstrust_13425792383.jpg,,0,1,extra_orig/movingmountainstrust_13425792383_ela.jpg,IMD2020/imd_data
316,extra_orig/worldbank_13804938783.jpg,,0,1,extra_orig/worldbank_13804938783_ela.jpg,IMD2020/imd_data
320,extra_orig/73614187@N03_44314454294.jpg,,0,1,extra_orig/73614187@N03_44314454294_ela.jpg,IMD2020/imd_data
321,extra_orig/ingolauer_50087239021.jpg,,0,1,extra_orig/ingolauer_50087239021_ela.jpg,IMD2020/imd_data
322,extra_orig/goosmurf_2892586150.jpg,,0,1,extra_orig/goosmurf_2892586150_ela.jpg,IMD2020/imd_data
324,extra_orig/10340081@N02_2558439096.jpg,,0,1,extra_orig/10340081@N02_2558439096_ela.jpg,IMD2020/imd_data
325,extra_orig/143528424@N03_28139932833.jpg,,0,1,extra_orig/143528424@N03_28139932833_ela.jpg,IMD2020/imd_data
327,extra_orig/35633128@N05_9086119555.jpg,,0,1,extra_orig/35633128@N05_9086119555_ela.jpg,IMD2020/imd_data
328,extra_orig/sanjaywatwani_6150399453.jpg,,0,1,extra_orig/sanjaywatwani_6150399453_ela.jpg,IMD2020/imd_data
330,extra_orig/doctorow_2140506.jpg,,0,1,extra_orig/doctorow_2140506_ela.jpg,IMD2020/imd_data
335,extra_orig/nogoodreason_280690499.jpg,,0,1,extra_orig/nogoodreason_280690499_ela.jpg,IMD2020/imd_data
337,extra_orig/aliented_176177983.jpg,,0,1,extra_orig/aliented_176177983_ela.jpg,IMD2020/imd_data
339,extra_orig/rpmarks_10424216004.jpg,,0,1,extra_orig/rpmarks_10424216004_ela.jpg,IMD2020/imd_data
341,1al8oy/1al8oy_orig.jpg,,0,1,1al8oy/1al8oy_orig_ela.jpg,IMD2020/imd_data
342,extra_orig/dawidpalen_4606134886.jpg,,0,1,extra_orig/dawidpalen_4606134886_ela.jpg,IMD2020/imd_data
344,extra_orig/aijoskobi_6333435158.jpg,,0,1,extra_orig/aijoskobi_6333435158_ela.jpg,IMD2020/imd_data
346,extra_orig/141509577@N05_49911734143.jpg,,0,1,extra_orig/141509577@N05_49911734143_ela.jpg,IMD2020/imd_data
351,extra_orig/137165360@N08_28391221745.jpg,,0,1,extra_orig/137165360@N08_28391221745_ela.jpg,IMD2020/imd_data
352,1ahawd/1ahawd_orig.jpg,,0,1,1ahawd/1ahawd_orig_ela.jpg,IMD2020/imd_data
