image,image_patch,mask_patch,label,fold,ela,data_root
original_NC2016_0006,0.png,,0,0,0_ela.jpg,NIST16/image_patch_128
original_NC2016_0021,0.png,,0,0,0_ela.jpg,NIST16/image_patch_128
original_NC2016_0021,1.png,,0,0,1_ela.jpg,NIST16/image_patch_128
original_NC2016_0021,2.png,,0,0,2_ela.jpg,NIST16/image_patch_128
original_NC2016_0021,3.png,,0,0,3_ela.jpg,NIST16/image_patch_128
original_NC2016_0021,4.png,,0,0,4_ela.jpg,NIST16/image_patch_128
original_NC2016_0021,5.png,,0,0,5_ela.jpg,NIST16/image_patch_128
original_NC2016_0021,6.png,,0,0,6_ela.jpg,NIST16/image_patch_128
original_NC2016_0036,0.png,,0,0,0_ela.jpg,NIST16/image_patch_128
original_NC2016_0036,1.png,,0,0,1_ela.jpg,NIST16/image_patch_128
original_NC2016_0036,2.png,,0,0,2_ela.jpg,NIST16/image_patch_128
original_NC2016_0036,3.png,,0,0,3_ela.jpg,NIST16/image_patch_128
original_NC2016_0036,4.png,,0,0,4_ela.jpg,NIST16/image_patch_128
original_NC2016_0036,5.png,,0,0,5_ela.jpg,NIST16/image_patch_128
original_NC2016_0036,6.png,,0,0,6_ela.jpg,NIST16/image_patch_128
original_NC2016_0044,0.png,,0,0,0_ela.jpg,NIST16/image_patch_128
original_NC2016_0044,1.png,,0,0,1_ela.jpg,NIST16/image_patch_128
original_NC2016_0044,2.png,,0,0,2_ela.jpg,NIST16/image_patch_128
original_NC2016_0044,3.png,,0,0,3_ela.jpg,NIST16/image_patch_128
original_NC2016_0044,4.png,,0,0,4_ela.jpg,NIST16/image_patch_128
original_NC2016_0044,5.png,,0,0,5_ela.jpg,NIST16/image_patch_128
original_NC2016_0044,6.png,,0,0,6_ela.jpg,NIST16/image_patch_128
original_NC2016_0045,0.png,,0,0,0_ela.jpg,NIST16/image_patch_128
original_NC2016_0067,0.png,,0,0,0_ela.jpg,NIST16/image_patch_128
original_NC2016_0067,1.png,,0,0,1_ela.jpg,NIST16/image_patch_128
original_NC2016_0082,0.png,,0,0,0_ela.jpg,NIST16/image_patch_128
original_NC2016_0085,0.png,,0,0,0_ela.jpg,NIST16/image_patch_128
original_NC2016_0085,1.png,,0,0,1_ela.jpg,NIST16/image_patch_128
original_NC2016_0085,2.png,,0,0,2_ela.jpg,NIST16/image_patch_128
original_NC2016_0085,3.png,,0,0,3_ela.jpg,NIST16/image_patch_128
original_NC2016_0085,4.png,,0,0,4_ela.jpg,NIST16/image_patch_128
original_NC2016_0085,5.png,,0,0,5_ela.jpg,NIST16/image_patch_128
original_NC2016_0085,6.png,,0,0,6_ela.jpg,NIST16/image_patch_128
