image,image_patch,mask_patch,label,fold,ela,root_dir
c99fjx6_0,3.jpg,3_gt.jpg,1,0,3_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
giulianobg_16113748784,28.jpg,,0,0,28_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
water_alternatives_46672200015,18.jpg,,0,0,18_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9eictw_0,11.jpg,11_gt.jpg,1,0,11_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c8yc2ry_0,12.jpg,12_gt.jpg,1,0,12_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1bajww_orig,98.jpg,,0,0,98_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
kd85_36327309813,14.jpg,,0,0,14_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
trixie-in-dixie_18198588413,38.jpg,,0,0,38_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1cfo34_orig,78.jpg,,0,0,78_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
27718315@N02_50006440386,22.jpg,,0,0,22_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c8z2itj_0,17.jpg,17_gt.jpg,1,0,17_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
worldmeteorologicalorganization_47999613557,14.jpg,,0,0,14_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
davereynolds1_14214178499,16.jpg,,0,0,16_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1bajww_orig,9.jpg,,0,0,9_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
1bigvi_orig,74.jpg,,0,0,74_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
12337436@N02_2817238102,3.jpg,,0,0,3_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
73014677@N05_15152145778,24.jpg,,0,0,24_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
141509577@N05_49911762128,2.jpg,,0,0,2_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9g6vta_0,21.jpg,21_gt.jpg,1,0,21_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c9729qx_0,20.jpg,20_gt.jpg,1,0,20_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
phoenixpics_75704683,2.jpg,,0,0,2_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
c8yjs3y_0,4.jpg,4_gt.jpg,1,0,4_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
lamerie_2071503920,6.jpg,,0,0,6_ela.jpg,Image_Manipulation_Dataset/IMD2020/image_patch_128
