image_patch,mask_patch,label,fold,ela
Tp/Tp_S_NNN_S_N_ind00079_ind00079_00912.tif,Gt/Tp_S_NNN_S_N_ind00079_ind00079_00912_gt.png,1,0,Tp/Tp_S_NNN_S_N_ind00079_ind00079_00912_ela.jpg
Tp/Tp_S_CNN_M_N_ind00002_ind00002_10052.tif,Gt/Tp_S_CNN_M_N_ind00002_ind00002_10052_gt.png,1,9,Tp/Tp_S_CNN_M_N_ind00002_ind00002_10052_ela.jpg
Tp/Tp_S_NNN_S_N_pla00081_pla00081_01183.tif,Gt/Tp_S_NNN_S_N_pla00081_pla00081_01183_gt.png,1,5,Tp/Tp_S_NNN_S_N_pla00081_pla00081_01183_ela.jpg
Tp/Tp_S_CNN_S_N_pla00010_pla00010_01132.tif,Gt/Tp_S_CNN_S_N_pla00010_pla00010_01132_gt.png,1,5,Tp/Tp_S_CNN_S_N_pla00010_pla00010_01132_ela.jpg
Tp/Tp_D_NRN_M_N_art00049_nat00059_11759.jpg,Gt/Tp_D_NRN_M_N_art00049_nat00059_11759_gt.png,1,3,Tp/Tp_D_NRN_M_N_art00049_nat00059_11759_ela.jpg
Tp/Tp_D_NRN_S_B_sec00088_ani00100_00719.tif,Gt/Tp_D_NRN_S_B_sec00088_ani00100_00719_gt.png,1,8,Tp/Tp_D_NRN_S_B_sec00088_ani00100_00719_ela.jpg
Tp/Tp_S_NNN_S_N_ani00084_ani00084_00817.tif,Gt/Tp_S_NNN_S_N_ani00084_ani00084_00817_gt.png,1,1,Tp/Tp_S_NNN_S_N_ani00084_ani00084_00817_ela.jpg
Tp/Tp_S_CNN_M_N_ind00069_ind00069_10692.jpg,Gt/Tp_S_CNN_M_N_ind00069_ind00069_10692_gt.png,1,2,Tp/Tp_S_CNN_M_N_ind00069_ind00069_10692_ela.jpg
Tp/Tp_S_NRD_S_B_ani00023_ani00023_00143.tif,Gt/Tp_S_NRD_S_B_ani00023_ani00023_00143_gt.png,1,4,Tp/Tp_S_NRD_S_B_ani00023_ani00023_00143_ela.jpg
Tp/Tp_D_NRN_S_N_pla10120_ani10122_11607.jpg,Gt/Tp_D_NRN_S_N_pla10120_ani10122_11607_gt.png,1,5,Tp/Tp_D_NRN_S_N_pla10120_ani10122_11607_ela.jpg
Tp/Tp_S_CRN_S_N_cha10165_cha10165_12242.jpg,Gt/Tp_S_CRN_S_N_cha10165_cha10165_12242_gt.png,1,7,Tp/Tp_S_CRN_S_N_cha10165_cha10165_12242_ela.jpg
Tp/Tp_S_NNN_S_N_ind00073_ind00073_01360.tif,Gt/Tp_S_NNN_S_N_ind00073_ind00073_01360_gt.png,1,3,Tp/Tp_S_NNN_S_N_ind00073_ind00073_01360_ela.jpg
Tp/Tp_S_NRN_S_N_ind20058_ind20058_01799.tif,Gt/Tp_S_NRN_S_N_ind20058_ind20058_01799_gt.png,1,1,Tp/Tp_S_NRN_S_N_ind20058_ind20058_01799_ela.jpg
Tp/Tp_D_NRN_S_N_nat10149_ani00005_12006.jpg,Gt/Tp_D_NRN_S_N_nat10149_ani00005_12006_gt.png,1,6,Tp/Tp_D_NRN_S_N_nat10149_ani00005_12006_ela.jpg
Tp/Tp_S_NRN_S_N_art20087_art20087_02310.tif,Gt/Tp_S_NRN_S_N_art20087_art20087_02310_gt.png,1,7,Tp/Tp_S_NRN_S_N_art20087_art20087_02310_ela.jpg
Tp/Tp_D_NRN_M_N_ani00057_ani00019_11861.jpg,Gt/Tp_D_NRN_M_N_ani00057_ani00019_11861_gt.png,1,2,Tp/Tp_D_NRN_M_N_ani00057_ani00019_11861_ela.jpg
Tp/Tp_S_NRN_M_N_art00030_art00030_10470.tif,Gt/Tp_S_NRN_M_N_art00030_art00030_10470_gt.png,1,2,Tp/Tp_S_NRN_M_N_art00030_art00030_10470_ela.jpg
Tp/Tp_D_NNN_M_O_sec00031_nat00062_00052.tif,Gt/Tp_D_NNN_M_O_sec00031_nat00062_00052_gt.png,1,3,Tp/Tp_D_NNN_M_O_sec00031_nat00062_00052_ela.jpg
Tp/Tp_D_NNN_S_B_sec00091_cha00085_00111.tif,Gt/Tp_D_NNN_S_B_sec00091_cha00085_00111_gt.png,1,6,Tp/Tp_D_NNN_S_B_sec00091_cha00085_00111_ela.jpg
Tp/Tp_S_NRN_S_N_sec00059_sec00059_00731.tif,Gt/Tp_S_NRN_S_N_sec00059_sec00059_00731_gt.png,1,7,Tp/Tp_S_NRN_S_N_sec00059_sec00059_00731_ela.jpg
